Name,Rarity,Attune,Type,Cost,Consumable?,Tool Proficiency,Spells Needed,Item Needed,Other Requirements,Description,Source,Craftable?,Lootable?,PLACEHOLDER
Oil of Etherealness,Rare,No,Potion,1920,Yes,Alchemist Supplies,,,,Beads of this cloudy gray oil form on the outside of its container and quickly evaporate. The oil can cover a Medium or smaller creaturea445 along with the equipment it's wearing and carrying (one additional vial is required for each size category above Medium). Applying the oil takes 10 minutes. The affected creature then gains the effect of the etherealness spell for 1 hour.,DMGa445 page 183,Yes,Yes,a
Potion of Clairvoyance,Rare,No,Potion,960,Yes,Alchemist Supplies,Clairvoyance,,,When you drink this potiona445 you gain the effect of the clairvoyance spell. An eyeball bobs in this yellowish liquid but vanishes when the potion is opened.,DMGa445 page 187,Yes,Yes,a
Potion of Diminution,Rare,No,Potion,270,Yes,Alchemist Supplies,Enlarge/Reduce,,,When you drink this potiona445 you gain the reduce effect of the enlarge/reduce spell for 1d4 hours (no concentration required). The red in the potion's liquid continuously contracts to a tiny bead and then expands to color the clear liquid around it. Shaking the bottle fails to interrupt this process.,DMGa445 page 187,Yes,Yes,a
Potion of Gaseous Form,Rare,No,Potion,300,Yes,Alchemist Supplies,Gaseous Form,,,When you drink this potiona445 you gain the effect of the gaseous form spell for 1 hour (no concentration required) or until you end the effect as a bonus action. This potion's container seems to hold fog that moves and pours like water.,DMGa445 page 187,Yes,Yes,a
Potion of Giant’s Strength (Frost/Stone),Rare,No,Potion,650,Yes,Alchemist Supplies,,,,When you drink this potiona445 your Strength score changes to 23 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.a446This potion's transparent liquid has floating in it a sliver of fingernail from a frost giant.,DMGa445 page 187,Yes,Yes,a
Potion of Giant’s Strength (Fire),Rare,No,Potion,1200,Yes,Alchemist Supplies,,,,When you drink this potiona445 your Strength score changes to 25 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.a446This potion's transparent liquid has floating in it a sliver of fingernail from a fire giant.,DMGa445 page 187,Yes,Yes,a
Potion of Superior Healing,Rare,No,Potion,450,Yes,Herbalism Kit,,,,You regain 8d4 + 8 hit points when you drink this potion. The potion's red liquid glimmers when agitated.,DMGa445 page 187,Yes,Yes,a
Potion of Heroism,Rare,No,Potion,180,Yes,Alchemist Supplies,Bless,,,For 1 hour after drinking ita445 you gain 10 temporary hit points that last for 1 hour. For the same durationa445 you are under the effect of the bless spell (no concentration required). This blue potion bubbles and steams as if boiling.,DMGa445 page 188,Yes,Yes,a
Potion of Invulnerability,Rare,No,Potion,3840,Yes,Alchemist Supplies,,,,For 1 minute after you drink this potiona445 you have resistance to all damage. The potion's syrupy liquid looks like liquefied iron.,DMGa445 page 188,Yes,Yes,a
Potion of Mind Control (Beast),Rare,No,Potion,1600,Yes,Alchemist Supplies,Dominate Beast,,,When you drink a potion of mind controla445 you can cast a dominate spell (save DC 15) on a specific creature if you do so before the end of your next turn. If you don'ta445 the potion is wasted.a446A potion of mind control produces the effect of a dominate beast spell. If the target's initial saving throw failsa445 the effect lasts for 1 houra445 with no concentration required on your part. The charmed creature has disadvantage on new saving throws to break the effect during this time.,TftYPa445 page 229,Yes,Yes,a
Potion of Mind Control (Human),Rare,No,Potion,2500,Yes,Alchemist Supplies,Dominate Person,,,When you drink a potion of mind controla445 you can cast a dominate spell (save DC 15) on a specific creature if you do so before the end of your next turn. If you don'ta445 the potion is wasted.a446A potion of mind control produces the effect of a dominate person spell. If the target's initial saving throw failsa445 the effect lasts for 1 houra445 with no concentration required on your part. The charmed creature has disadvantage on new saving throws to break the effect during this time.,TftYPa445 page 229,Yes,Yes,a
Potion of Mind Reading,Rare,No,Potion,180,Yes,Alchemist Supplies,Detect Thoughts,,,When you drink this potiona445 you gain the effect of the detect thoughts spell (save DC 13). The potion's densea445 purple liquid has an ovoid cloud of pink floating in it.,DMGa445 page 188,Yes,Yes,a
Oil of Sharpness,Very Rare,No,Potion,3200,Yes,Alchemist Supplies,,,,This cleara445 gelatinous oil sparkles with tinya445 ultrathin silver shards. The oil can coat one slashing or piercing weapon or up to 5 pieces of slashing or piercing ammunition. Applying the oil takes 1 minute. For 1 houra445 the coated item is magical and has a +3 bonus to attack and damage rolls.,DMGa445 page 184,Yes,Yes,a
Potion of Flying,Very Rare,No,Potion,500,Yes,Alchemist Supplies,,,,When you drink this potiona445 you gain a flying speed equal to your walking speed for 1 hour and can hover. If you're in the air when the potion wears offa445 you fall unless you have some other means of staying aloft. This potion's clear liquid floats at the top of its container and has cloudy white impurities drifting in it.,DMGa445 page 187,Yes,Yes,a
Potion of Giant’s Strength (Cloud),Very Rare,No,Potion,1800,Yes,Alchemist Supplies,,Cloud Giant,,When you drink this potiona445 your Strength score changes to 27 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.a446This potion's transparent liquid has floating in it a sliver of fingernail from a cloud giant.,DMGa445 page 187,Yes,Yes,a
Potion of Supreme Healing,Very Rare,No,Potion,1350,Yes,Herbalism Kit,,,,You regain 10d4 + 20 hit points when you drink this potion. The potion's red liquid glimmers when agitated.,DMGa445 page 187,Yes,Yes,a
Potion of Invisibility,Very Rare,No,Potion,180,Yes,Alchemist Supplies,,,,This potion's container looks empty but feels as though it holds liquid. When you drink ita445 you become invisible for 1 hour. Anything you wear or carry is invisible with you. The effect ends early if you attack or cast a spell.,DMGa445 page 188,Yes,Yes,a
Potion of Longevity,Very Rare,No,Potion,9000,Yes,Alchemist Supplies,,,,When you drink this potiona445 your physical age is reduced by 1d6 + 6 yearsa445 to a minimum of 13 years. Each time you subsequently drink a potion of longevitya445 there is 10 percent cumulative chance that you instead age by 1d6 + 6 years. Suspended in this amber liquid are a scorpion's taila445 an adder's fanga445 a dead spidera445 and a tiny heart thata445 against all reasona445 is still beating. These ingredients vanish when the potion is opened.,DMGa445 page 188,Yes,Yes,a
Potion of Mind Control (Monster),Very Rare,No,Potion,6000,Yes,Alchemist Supplies,Dominate Monster,,,When you drink a potion of mind controla445 you can cast a dominate spell (save DC 15) on a specific creature if you do so before the end of your next turn. If you don'ta445 the potion is wasted.a446A potion of mind control produces the effect of a dominate monster spell. If the target's initial saving throw failsa445 the effect lasts for 1 houra445 with no concentration required on your part. The charmed creature has disadvantage on new saving throws to break the effect during this time.,TftYPa445 page 229,Yes,Yes,a
Potion of Speed,Very Rare,No,Potion,400,Yes,Alchemist Supplies,Haste,,,When you drink this potiona445 you gain the effect of the haste spell for 1 minute (no concentration required). The potion's yellow fluid is streaked with black and swirl on its own.,DMGa445 page 188,Yes,Yes,a
Potion of Vitality,Very Rare,No,Potion,960,Yes,Alchemist Supplies,,,,When you drink this potiona445 it removes any exhaustion you are suffering and cures any disease or poison affecting you. For the next 24 hoursa445 you regain the maximum number of hit points for any Hit Die you spend. The potion's crimson liquid regularly pulses with dull lighta445 calling to mind a heartbeat.,DMGa445 page 188,Yes,Yes,a
Potion of Giant’s Size,Legendary,No,Potion,11000,Yes,Alchemist Supplies,,,,When you drink this potiona445 you become Huge for 24 hours if you are Medium or smallera445 otherwise the potion does nothing. For that durationa445 your Strength becomes 25a445 if it isn't already highera445 and your hit point maximum is doubled (your current hit points are doubled when you drink the potion). In additiona445 the reach of your melee attacks increases by 5 feet.a446Everything you are carrying and wearing also increases in size for the duration. When rolling damage for weapons enlarged in this mannera445 roll three times the normal number of dice; for examplea445 an enlarged longsword would deal 3d8 slashing damage (instead of1d8)a445 or 3d10 slashing damage (instead of 1d10) when used with two hands.a446When the effect endsa445 any hit points you have above your hit point maximum become temporary hit points. This potion is a pale white liquid made from the tongue of a giant clama445 with a pungent aroma akin to that of rotting algae. It tastes sweeta445 howevera445 when consumed.,SKTa445 page 236,Yes,Yes,a
Potion of Giant Strength (Storm),Legendary,No,Potion,8000,Yes,Alchemist Supplies,,Storm Giant,,When you drink this potiona445 your Strength score changes to 29 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.a446This potion's transparent liquid has floating in it a sliver of fingernail from a storm giant.,DMGa445 page 187,Yes,Yes,a
Scrolls,,,,,,,,,,,,,,a
Scroll of Protection,Rare,No,Spell Scroll,180,Yes,Arcana Skill,Spell stored the scroll,,,,,Yes,Yes,a
Spell Scroll Lv 0,Common,No,Spell Scroll,10,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 10. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 13 and an attack bonus of +5.,DMGa445 page 199,Yes,Yes,a
Spell Scroll Lv 1,Common,No,Spell Scroll,60,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 11. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 13 and an attack bonus of +5.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 11 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 200,Yes,Yes,a
Spell Scroll Lv 2,Uncommon,No,Spell Scroll,120,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 12. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 13 and an attack bonus of +5.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 12 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 201,Yes,Yes,a
Spell Scroll Lv 3,Uncommon,No,Spell Scroll,200,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 13. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 15 and an attack bonus of +7.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 13 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 202,Yes,Yes,a
Spell Scroll Lv 4,Rare,No,Spell Scroll,320,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 14. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 15 and an attack bonus of +7.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 14 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 203,Yes,Yes,a
Spell Scroll Lv 5,Rare,No,Spell Scroll,640,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 15. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 17 and an attack bonus of +9.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 15 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 204,Yes,Yes,a
Spell Scroll Lv 6,Very Rare,No,Spell Scroll,1280,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 16. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 17 and an attack bonus of +9.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 16 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 205,Yes,Yes,a
Spell Scroll Lv 7,Very Rare,No,Spell Scroll,2560,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 17. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 18 and an attack bonus of +10.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 17 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 206,Yes,Yes,a
Spell Scroll Lv 8,Very Rare,No,Spell Scroll,5120,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 18. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 18 and an attack bonus of +10.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 18 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 207,Yes,Yes,a
Spell Scroll Lv 9,Legendary,No,Spell Scroll,10240,Yes,Arcana Skill,Spell stored the scroll,,,A spell scroll bears the words of a single spella445 written as a mystical cipher. If the spell is on your class's spell lista445 you can read the scroll and cast its spell without having to provide any of the spell's components. Otherwisea445 the scroll is unintelligible. Casting the spell by reading the scroll requires the spell's normal casting time. Once the spell is casta445 the words on the scroll fadea445 and it crumbles to dust. If the casting is interrupteda445 the scroll is not lost.a446If the spell is on your class's spell list but of a higher level than you can normally casta445 you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC is 19. On a failed checka445 the spell disappears from the scroll with no other effect.a446Once the spell is casta445 the words on the scroll fadea445 and the scroll itself crumbles to dust.a446A spell cast from this scroll has a save DC of 19 and an attack bonus of +11.a446A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scrolla445 the copier must succeed on a DC 19 Intelligence (Arcana) check. If the check succeedsa445 the spell is successfully copied. Whether the check succeeds or failsa445 the spell scroll is destroyed.,DMGa445 page 208,Yes,Yes,a
Spell Gems,,,,,,,,,,,,,,a
Spell Gem Lv 0,Uncommon,Yes,Spell Gem,150,No,Jeweler’s Tools,Spell stored the gem,Obsidian,Svirfnebli,An obsidian spell gem can contain one cantrip from any class's spell list. You become aware of the spell when you learn the gem's properties. While holding the gema445 you can cast the spell from it as an action if you know the spell or if the spell is on your class's spell list. Doing so doesn't require any componentsa445 and doesn't require attunement. The spell then disappears from the gem.a446An obsidian spell gem can only store cantrips. Cantrips cast from the spell gem have a save DC of 13 and an attack bonus of +5.a446You can imbue the gem with a spell if you're attuned to it and it's empty. To do soa445 you cast the spell while holding the gem. The spell is stored in the gem instead of having any effect. Casting the spell must require either 1 action or 1 minute or longera445 and the spell's level must be no higher than the gem's maximum. IF the spell belongs to the school of abjuration and requires material components that are consumeda445 you must provide thema445 but they can be worth half as much as normal.a446Once imbued with a spella445 the gem can't be imbued again until the next dawn.a446Deep gnomes created these magic gemstones and keep the creation process a secret.,OotAa445 page 223,Yes,Yes,a
Spell Gem Lv 1,Uncommon,Yes,Spell Gem,350,No,Jeweler’s Tools,Spell stored the gem,Lapis Lazuli,Svirfnebli,A lapis lazuli spell gem can contain one spell from any class's spell list. You become aware of the spell when you learn the gem's properties. While holding the gema445 you can cast the spell from it as an action if you know the spell or if the spell is on your class's spell list. Doing so doesn't require any componentsa445 and doesn't require attunement. The spell then disappears from the gem.a446A lapis lazuli spell gem can store up to 1st level spells. Spells cast from the spell gem have a save DC of 13 and an attack bonus of +5.a446You can imbue the gem with a spell if you're attuned to it and it's empty. To do soa445 you cast the spell while holding the gem. The spell is stored in the gem instead of having any effect. Casting the spell must require either 1 action or 1 minute or longera445 and the spell's level must be no higher than the gem's maximum. IF the spell belongs to the school of abjuration and requires material components that are consumeda445 you must provide thema445 but they can be worth half as much as normal.a446Once imbued with a spella445 the gem can't be imbued again until the next dawn.a446Deep gnomes created these magic gemstones and keep the creation process a secret.,OotAa445 page 223,Yes,Yes,a
Spell Gem Lv 2,Rare,Yes,Spell Gem,1500,No,Jeweler’s Tools,Spell stored the gem,Quartz,Svirfnebli,A quartz spell gem can contain one spell from any class's spell list. You become aware of the spell when you learn the gem's properties. While holding the gema445 you can cast the spell from it as an action if you know the spell or if the spell is on your class's spell list. Doing so doesn't require any componentsa445 and doesn't require attunement. The spell then disappears from the gem.a446A quartz spell gem can store up to 2nd level spells. Spells cast from the spell gem have a save DC of 13 and an attack bonus of +5.a446You can imbue the gem with a spell if you're attuned to it and it's empty. To do soa445 you cast the spell while holding the gem. The spell is stored in the gem instead of having any effect. Casting the spell must require either 1 action or 1 minute or longera445 and the spell's level must be no higher than the gem's maximum. IF the spell belongs to the school of abjuration and requires material components that are consumeda445 you must provide thema445 but they can be worth half as much as normal.a446Once imbued with a spella445 the gem can't be imbued again until the next dawn.a446Deep gnomes created these magic gemstones and keep the creation process a secret.,OotAa445 page 223,Yes,Yes,a
Spell Gem Lv 3,Rare,Yes,Spell Gem,4000,No,Jeweler’s Tools,Spell stored the gem,Bloodstone,Svirfnebli,A bloodstone spell gem can contain one spell from any class's spell list. You become aware of the spell when you learn the gem's properties. While holding the gema445 you can cast the spell from it as an action if you know the spell or if the spell is on your class's spell list. Doing so doesn't require any componentsa445 and doesn't require attunement. The spell then disappears from the gem.a446A bloodstone spell gem can store up to 3rd level spells. Spells cast from the spell gem have a save DC of 15 and an attack bonus of +7.a446You can imbue the gem with a spell if you're attuned to it and it's empty. To do soa445 you cast the spell while holding the gem. The spell is stored in the gem instead of having any effect. Casting the spell must require either 1 action or 1 minute or longera445 and the spell's level must be no higher than the gem's maximum. IF the spell belongs to the school of abjuration and requires material components that are consumeda445 you must provide thema445 but they can be worth half as much as normal.a446Once imbued with a spella445 the gem can't be imbued again until the next dawn.a446Deep gnomes created these magic gemstones and keep the creation process a secret.,OotAa445 page 223,Yes,Yes,a
